source	target	type	source_id	id	label	name	category_code	crunchbase_url	funded_month	source_description	round_code	raised_amount	permalink	source_url	raised_currency_code	funded_year	funded_day
"(664828 {""phone_number"":"""",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/212-capital-partners-2"",""description"":"""",""overview"":"" 212 Capital Partners is an early-stage venture capital firm specializing in internet, telecom and technology companies.     212 invests in a wide portfolio of B2B and B2C companies involved in various tech-related industries such as e-commerce, gaming, platform and software-as-a-service (SaaS), both locally and internationally. Some of their clients include Solvoyo, Hazinem, Butigo, Ballerin and CloudArena.    The company was founded in December 2011 and is based in Istanbul, Turkey. "",""updated_at"":""Wed Feb 19 04:11:51 UTC 2014"",""twitter_username"":""212ltd"",""number_of_employees"":3,""founded_year"":2011,""permalink"":""212-capital-partners-2"",""name"":""212 Capital Partners"",""email_address"":""info@212ltd.com"",""created_at"":""Thu Nov 24 13:09:09 UTC 2011"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.212ltd.com"",""blog_feed_url"":""http://blog.212ltd.com"",""blog_url"":""http://www.212ltd.com"",""visited"":""False""})"	"(665465 {""stub"":"""",""visited"":""False"",""permalink"":""solvoyo"",""name"":""Solvoyo""})"	funded		212-capital-partners-2__solvoyo	funded					Solvoyo Secures New Investment	unattributed	2500000.0	212-capital-partners-2__solvoyo	http://212ltd.com/solvoyo-secures-newinvestment/	USD	2014	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665466 {""stub"":"""",""visited"":""False"",""permalink"":""juicewireless"",""name"":""Juice Wireless""})"	funded		21ventures__juicewireless	funded					Solvoyo Secures New Investment	a	500000.0	21ventures__juicewireless	http://212ltd.com/solvoyo-secures-newinvestment/	USD	2005	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665466 {""stub"":"""",""visited"":""False"",""permalink"":""juicewireless"",""name"":""Juice Wireless""})"	funded		21ventures__juicewireless	funded					Solvoyo Secures New Investment	a	1500000.0	21ventures__juicewireless	http://212ltd.com/solvoyo-secures-newinvestment/	USD	2006	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665466 {""stub"":"""",""visited"":""False"",""permalink"":""juicewireless"",""name"":""Juice Wireless""})"	funded		21ventures__juicewireless	funded					Solvoyo Secures New Investment	a	4000000.0	21ventures__juicewireless	http://212ltd.com/solvoyo-secures-newinvestment/	USD	2006	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665466 {""stub"":"""",""visited"":""False"",""permalink"":""juicewireless"",""name"":""Juice Wireless""})"	funded		21ventures__juicewireless	funded					Solvoyo Secures New Investment	b	3300000.0	21ventures__juicewireless	http://212ltd.com/solvoyo-secures-newinvestment/	USD	2007	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665466 {""stub"":"""",""visited"":""False"",""permalink"":""juicewireless"",""name"":""Juice Wireless""})"	funded		21ventures__juicewireless	funded					Solvoyo Secures New Investment	c	6000000.0	21ventures__juicewireless	http://212ltd.com/solvoyo-secures-newinvestment/	USD	2007	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665467 {""stub"":"""",""visited"":""False"",""permalink"":""graphene-energy"",""name"":""Graphene Energy""})"	funded		21ventures__graphene-energy	funded					Graphene Energy raises $500,000 for ultracapacitor storage	seed	500000.0	21ventures__graphene-energy	http://venturebeat.com/2009/01/13/graphene-energy-raises-500000-for-ultracapacitor-storage/	USD	2009	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665468 {""stub"":"""",""visited"":""False"",""permalink"":""technospin"",""name"":""TechnoSpin""})"	funded		21ventures__technospin	funded					TechnoSpin Inc. Announces an $8 Million Series A Financing Round Led by NY Venture Capital Fund 21Ventures	a	8000000.0	21ventures__technospin	http://www.pr-inside.com/technospin-inc-announces-an-8-million-r561709.htm	USD	2008	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665469 {""stub"":"""",""visited"":""False"",""permalink"":""lightwave-power"",""name"":""Lightwave Power""})"	funded		21ventures__lightwave-power	funded					Lightwave raises $13M to improve thin-film solar	a	13000000.0	21ventures__lightwave-power	http://www-old.venturebeat.com/2008/12/12/lightwave-raises-13m-to-improve-thin-film-solar/	USD	2008	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665470 {""stub"":"""",""visited"":""False"",""permalink"":""greenray-solar"",""name"":""GreenRay Solar""})"	funded		21ventures__greenray-solar	funded					Solar Goes Modular: GreenRay Raises $2M	unattributed	2000000.0	21ventures__greenray-solar	http://www.greentechmedia.com/articles/read/solar-goes-modular-greenray-raises-2m/	USD	2009	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665471 {""stub"":"""",""visited"":""False"",""permalink"":""agent-video-intelligence"",""name"":""Agent Video Intelligence""})"	funded		21ventures__agent-video-intelligence	funded					Agent Vi Announces Additional $9M Investment From 21Ventures	b	9000000.0	21ventures__agent-video-intelligence	http://agentvi.com/press.aspx?catid=5&cid=103	USD	2008	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665472 {""stub"":"""",""visited"":""False"",""permalink"":""biopetroclean"",""name"":""BioPetroClean""})"	funded		21ventures__biopetroclean	funded					Bio Petro Clean Announces a Second Investment by 21Ventures for $5 Million	b	5000000.0	21ventures__biopetroclean	http://www.pr-inside.com/bio-petro-clean-announces-a-second-r808302.htm	USD	2008	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665473 {""stub"":"""",""visited"":""False"",""permalink"":""regen-power-systems"",""name"":""ReGen Power Systems""})"	funded		21ventures__regen-power-systems	funded					ReGen Power Systems Receives $5 Million Equity Commitment from 21Ventures	a	5000000.0	21ventures__regen-power-systems	http://www.rgpsystems.com/whatsnew.html#5mil	USD	2008	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665474 {""stub"":"""",""visited"":""False"",""permalink"":""advanced-telemetry"",""name"":""Advanced Telemetry""})"	funded		21ventures__advanced-telemetry	funded					Quercus Ups Stake in Energy Management Startup Advanced Telemetry	b	5000000.0	21ventures__advanced-telemetry	http://earth2tech.com/2009/07/21/quercus-ups-stake-in-energy-management-startup-advanced-telemetry/	USD	2009	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665470 {""stub"":"""",""visited"":""False"",""permalink"":""greenray-solar"",""name"":""GreenRay Solar""})"	funded		21ventures__greenray-solar	funded					GreenRay Sees Green in $2M A Round	a	2000000.0	21ventures__greenray-solar	http://www.xconomy.com/boston/.../greenray-sees-green-in-2m-a-round/	USD	2009	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665475 {""stub"":"""",""visited"":""False"",""permalink"":""aerofarms"",""name"":""AeroFarms""})"	funded		21ventures__aerofarms	funded					AeroFarms Raises $500,000 in Seed Funding	seed	500000.0	21ventures__aerofarms	http://www.businesswire.com/portal/site/home/permalink/?ndmViewId=news_view&newsId=20100208006298&newsLang=en	USD	2010	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665471 {""stub"":"""",""visited"":""False"",""permalink"":""agent-video-intelligence"",""name"":""Agent Video Intelligence""})"	funded		21ventures__agent-video-intelligence	funded					EDGAR	b	3000000.0	21ventures__agent-video-intelligence		USD	2007	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665476 {""stub"":"""",""visited"":""False"",""permalink"":""voip-logic"",""name"":""VoIP Logic""})"	funded		21ventures__voip-logic	funded					VoIP Logic Announces Funding from 21Ventures	a	1250000.0	21ventures__voip-logic	http://www.voiplogic.com/content98.html	USD	2006	
"(664831 {""phone_number"":""212-699-0842"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/21ventures"",""description"":""CleanTech Incubator"",""overview"":"" 21Ventures is a virtual technology incubator focusing on the ideas and innovations that will dominate the 21st century.    Since its founding in 2003, 21Ventures has provided seed, growth, and bridge capital to over 39 technology ventures across the globe.    21Ventures&#8217; expertise is in the clean-tech space, where it focuses on wind, solar, water, energy storage, efficiency and, agriculture. 21Ventures invests in other sectors as opportunities arise.    21Ventures leads its companies and its investors to success by providing shared resources such as grant writing, technical consulting and web based marketing services provided through its affiliate, Expansion Media.    The virtual incubator sponsored by 21Ventures provides an ideal framework for companies competing in an ever evolving, global marketplace. "",""updated_at"":""Thu Jul 30 20:12:43 UTC 2009"",""email_address"":""danthony@21ventures.net"",""founded_year"":2004,""name"":""21Ventures"",""permalink"":""21ventures"",""founded_month"":1,""created_at"":""Wed Dec 19 04:37:36 UTC 2007"",""alias_list"":"""",""stub"":""False"",""homepage_url"":""http://www.21ventures.net"",""blog_feed_url"":"""",""blog_url"":"""",""visited"":""False""})"	"(665471 {""stub"":"""",""visited"":""False"",""permalink"":""agent-video-intelligence"",""name"":""Agent Video Intelligence""})"	funded		21ventures__agent-video-intelligence	funded					Aspectus Announces $2 Million Funding Led by 21Ventures.	unattributed	2000000.0	21ventures__agent-video-intelligence	http://www.accessmylibrary.com/coms2/summary_0286-14980289_ITM	USD	2006	
"(664832 {""stub"":""False"",""permalink"":""2500-bachman-ventures"",""crunchbase_url"":""http://www.crunchbase.com/financial-organization/2500-bachman-ventures"",""name"":""2500 Bachman Ventures"",""visited"":""False"",""created_at"":""Thu Feb 27 04:37:02 UTC 2014"",""updated_at"":""Thu Feb 27 04:37:02 UTC 2014""})"	"(665477 {""stub"":"""",""visited"":""False"",""permalink"":""synappio"",""name"":""Synappio""})"	funded		2500-bachman-ventures__synappio	funded					2500 Bachman Ventures invests in Synapp.io	unattributed	2000000.0	2500-bachman-ventures__synappio	http://www.hypepotamus.com/2500-bachman-ventures-invests-synapp-io/	USD	2014	
